Duration;ProcessName;ProcessID;CPUms/s;User%;Deadlines;(<2ms,2-5ms);Wakeups;(intr,pkg,idle);EnergyImpact;;;;;;;;
01:01:13;Catalog,API;612;41,79;95,49;0,00;0,00;4,98;0,00;80,25;;;;;;;;
01:01:18;Catalog,API;612;4,95;73,10;0,00;0,00;6,14;0,40;0,49;;;;;;;;
01:01:23;Catalog,API;612;3,32;87,97;0,00;0,00;4,94;0,20;0,34;;;;;;;;
01:01:28;Catalog,API;612;5,92;66,61;0,00;0,00;3,96;0,20;1,43;;;;;;;;
01:01:33;Catalog,API;612;9,20;72,72;0,00;0,00;5,34;0,59;3,74;;;;;;;;
01:01:38;Catalog,API;612;4,23;85,51;0,00;0,00;3,57;0,40;1,97;;;;;;;;
01:01:43;Catalog,API;612;24,10;83,69;0,00;0,00;5,56;0,20;20,81;;;;;;;;
01:01:48;Catalog,API;612;35,94;88,77;0,00;0,00;5,34;0,00;46,24;;;;;;;;
01:01:54;Catalog,API;612;7,98;90,78;0,00;0,00;4,36;0,20;7,31;;;;;;;;
01:01:59;Catalog,API;612;80,23;86,69;0,00;0,00;5,54;0,79;152,43;;;;;;;;
01:02:04;Catalog,API;612;3,23;77,39;0,00;0,00;4,77;0,40;0,31;;;;;;;;
01:02:09;Catalog,API;612;19,74;85,41;0,00;0,00;4,95;0,40;9,49;;;;;;;;
01:02:14;Catalog,API;612;12,09;76,10;0,00;0,00;5,35;0,20;6,12;;;;;;;;
01:02:19;Catalog,API;612;7,41;68,29;0,00;0,00;4,94;0,59;3,63;;;;;;;;
01:02:24;Catalog,API;612;26,84;81,92;0,00;0,00;5,95;0,40;32,80;;;;;;;;
01:02:29;Catalog,API;612;33,07;79,00;0,00;0,00;4,54;0,59;15,07;;;;;;;;
01:02:34;Catalog,API;612;7,04;68,58;0,00;0,00;4,94;0,79;2,07;;;;;;;;
01:02:39;Catalog,API;612;4,01;90,14;0,00;0,00;4,95;0,20;0,31;;;;;;;;
01:02:44;Catalog,API;612;11,13;76,52;0,00;0,00;4,36;0,59;5,18;;;;;;;;
01:02:49;Catalog,API;612;13,71;62,92;0,00;0,00;5,74;0,20;6,40;;;;;;;;
01:02:54;Catalog,API;612;10,56;74,09;0,00;0,00;5,34;0,99;4,50;;;;;;;;
01:02:59;Catalog,API;612;29,81;66,54;0,00;0,00;4,95;0,20;9,87;;;;;;;;
01:03:04;Catalog,API;612;19,47;76,09;0,00;0,00;6,13;0,79;6,87;;;;;;;;
01:03:09;Catalog,API;612;9,64;61,39;0,00;0,00;3,97;0,40;3,90;;;;;;;;
01:03:14;Catalog,API;612;20,84;71,89;0,00;0,00;6,52;0,40;6,91;;;;;;;;
01:03:19;Catalog,API;612;21,32;60,50;0,00;0,00;5,33;0,00;7,38;;;;;;;;
01:03:24;Catalog,API;612;10,27;59,25;0,00;0,00;5,73;0,59;2,96;;;;;;;;
01:03:30;Catalog,API;612;16,08;60,07;0,00;0,00;5,73;0,79;4,07;;;;;;;;
01:03:35;Catalog,API;612;9,57;60,92;0,00;0,00;4,34;0,59;3,41;;;;;;;;
01:03:40;Catalog,API;612;6,15;73,28;0,00;0,00;5,14;0,59;1,37;;;;;;;;
01:03:45;Catalog,API;612;6,90;64,58;0,00;0,00;4,95;0,40;1,66;;;;;;;;
01:03:50;Catalog,API;612;18,88;66,66;0,00;0,00;4,34;0,39;13,82;;;;;;;;
01:03:55;Catalog,API;612;15,60;75,65;0,00;0,00;5,93;0,59;6,15;;;;;;;;
01:04:00;Catalog,API;612;5,99;57,63;0,00;0,00;4,15;0,00;2,11;;;;;;;;
01:04:05;Catalog,API;612;12,38;64,69;0,00;0,00;5,93;0,79;1,94;;;;;;;;
01:04:10;Catalog,API;612;8,23;62,36;0,00;0,00;4,35;0,40;1,56;;;;;;;;
01:04:15;Catalog,API;612;12,05;59,64;0,00;0,00;6,13;0,59;2,48;;;;;;;;
01:04:20;Catalog,API;612;7,39;82,21;0,00;0,00;4,55;0,40;1,48;;;;;;;;
01:04:25;Catalog,API;612;2,83;72,49;0,00;0,00;4,54;0,59;0,20;;;;;;;;
01:04:30;Catalog,API;612;6,67;79,69;0,00;0,00;4,94;0,20;1,18;;;;;;;;
01:04:35;Catalog,API;612;20,04;68,93;0,00;0,00;6,13;0,40;6,75;;;;;;;;
01:04:40;Catalog,API;612;33,38;85,24;0,20;0,00;6,33;0,20;27,99;;;;;;;;
01:04:45;Catalog,API;612;2,69;83,01;0,00;0,00;4,16;0,59;0,23;;;;;;;;
01:04:50;Catalog,API;612;12,02;64,93;0,00;0,00;4,16;0,59;5,09;;;;;;;;
01:04:56;Catalog,API;612;4,04;81,22;0,00;0,00;4,94;0,79;0,24;;;;;;;;
01:05:01;Catalog,API;612;12,48;58,86;0,00;0,00;3,75;0,00;5,81;;;;;;;;
01:05:06;Catalog,API;612;6,14;74,70;0,00;0,00;7,11;0,40;0,47;;;;;;;;
01:05:11;Catalog,API;612;9,61;63,18;0,00;0,00;3,16;0,40;3,79;;;;;;;;
01:05:16;Catalog,API;612;4,45;86,58;0,00;0,00;5,93;0,40;0,21;;;;;;;;
01:05:21;Catalog,API;612;12,43;75,76;0,00;0,00;5,14;0,79;3,86;;;;;;;;
01:00:53;WebApp;617;25,58;86,37;0,00;0,00;7,17;0,00;15,41;;;;;;;;
01:00:58;WebApp;617;45,02;92,59;0,00;0,00;8,55;0,99;80,45;;;;;;;;
01:01:03;WebApp;617;5,66;61,43;0,00;0,00;6,53;0,79;0,86;;;;;;;;
01:01:08;WebApp;617;9,09;67,25;0,20;0,00;9,32;0,60;1,27;;;;;;;;
01:01:13;WebApp;617;57,61;92,20;0,00;0,00;7,36;0,20;120,73;;;;;;;;
01:01:18;WebApp;617;9,25;52,70;0,00;0,00;8,32;0,79;0,95;;;;;;;;
01:01:23;WebApp;617;8,91;70,23;0,20;0,20;8,10;0,59;1,01;;;;;;;;
01:01:28;WebApp;617;24,68;82,58;0,00;0,00;8,70;0,40;6,80;;;;;;;;
